user_id,date,validity_type_bad,bounce_type_soft,bounce_type_hard,bounce_type_other,paycheck_amount_gross,type_of_income,account_number,type_of_loan,autopay_check,bankruptcy_check,deferral_check,customer_account_age,collateral_check,homeowner_check,target_variable,state,type_of_address,branch_distance,user_age,credit_score,plans_count,retired_check,freq_payment,job_duration
18071,12/24/2019,1,0,0,0,1397,28,3430106,13,0,0,0,4,0,0,0,NJ,M,10,52 years,344,5,0,2,33 years
40658,11/30/2019,1,0,0,0,3581,12,6708290,12,1,0,0,3,0,0,0,NJ,M,7,24 years,345,2,0,1,3 years
40177,11/22/2019,0,0,0,0,696,24,4040837,32,1,0,0,1,0,1,0,TX,P,43,38 years,345,5,0,2,17 years
13347,11/14/2019,0,0,0,0,1240,1,6977939,18,0,0,0,3,0,0,0,AZ,P,19,38 years,345,6,1,4,15 years
2437,11-04-19,0,0,0,0,1027,17,4673045,14,1,0,0,3,0,0,0,TX,P,58,37 years,345,7,0,1,12 years
46359,11-01-19,0,0,0,0,725,23,6869045,14,0,0,0,3,0,1,0,AZ,P,11,26 years,345,5,0,3,7 years
37154,10/30/2019,0,0,0,0,4173,,1405518,,0,0,0,4,0,0,0,TX,M,46,43 years,345,2,0,1,23 years
56158,10/24/2019,0,0,0,0,1776,17,2632047,28,0,0,0,4,0,1,0,AZ,P,48,32 years,345,5,0,2,7 years
35509,12/31/2019,0,0,0,0,2663,14,3126507,18,0,1,1,4,0,1,0,TX,M,19,58 years,345,2,0,3,35 years
54166,12/29/2019,0,0,0,0,3050,10,5219270,18,0,0,0,5,0,1,0,AZ,P,54,37 years,345,4,0,3,13 years
12321,12/29/2019,0,0,0,0,4146,17,6316106,10,0,0,0,4,0,1,0,AZ,M,41,40 years,345,5,0,3,15 years
54772,12/26/2019,0,0,0,0,4698,4,2049694,32,0,0,0,2,0,0,0,TX,M,27,51 years,345,3,0,1,30 years
43658,12/18/2019,0,0,0,0,4662,13,6292344,8,0,0,0,5,0,0,0,AZ,P,1,19 years,345,3,0,2,1 years
1665,12/15/2019,0,0,0,0,4587,1,4232140,32,0,0,0,3,0,1,0,TX,P,60,40 years,345,3,0,3,15 years
50949,12-06-19,0,0,0,0,2954,11,4133421,8,1,0,0,1,0,1,0,TX,M,11,26 years,345,10,0,4,8 years
49331,12-04-19,0,0,0,0,2554,31,3306056,13,0,0,0,3,0,0,0,TX,M,27,29 years,345,4,0,3,9 years
65962,11/27/2019,0,0,0,0,3776,,6753842,7,1,0,0,4,0,0,0,AZ,P,6,34 years,345,3,0,4,12 years
97182,11/20/2019,1,0,0,0,2013,9,7958257,8,0,0,0,1,0,0,0,NJ,P,8,24 years,345,1,0,3,1 years
